ID	EN	SP	FR	GE	RU
Developer	Developer	Desarrollador	Développeur	Entwickler	Разработчик
ProducedBy	Produced By	Producido por	Produit par	Produziert von	Создано
Designer	Designer	Diseñador	Designer	Designer	Дизайнер
Shipwrecks	Shipwrecks	Naufragios	Épaves	Schiffswracks	Кораблекрушения
DeveloperName	Ian McLennan	Ian McLennan	Ian McLennan	Ian McLennan	Ian McLennan
ProduceName	Scott Gonnello	Scott Gonnello	Scott Gonnello	Scott Gonnello	Scott Gonnello
DesignerName	Sophia McLennan	Sophia McLennan	Sophia McLennan	Sophia McLennan	Sophia McLennan
ShipwrecksName	Reef Smart Guides	Reef Smart Guides	Reef Smart Guides	Reef Smart Guides	Reef Smart Guides
